Taiga ID   ,Taiga Feature,Taiga State,Taiga subject
13,Intra Ops: Build system enhancements,Fixed,Debug packages for packages from devenv is corrupted
15,basic l3,Fixed,CLI - Interfaces split condition is not being validated
21,lldp,Fixed,LLDP neighbor table and interface counters take long time to clear
23,CLI infra,Fixed,Alias configuration removed after login/logout
26,BGP,Fixed,BGP Does not obey global ECMP enable/disable
30,Mgmt Interface,Fixed,Mgmt If - IPv6 handle DAD
33,basic l3,Open,Deleting ipv6 addresses on L3 interfaces doesnt remove Neigbors/direct connect hosts
35,VLANS,Assigned,Vlan name is not updated on the show vlan output
41,physical interfaces,Fixed,MTU configuration is not being applied to kernel interfaces
43,CLI infra,Fixed,Redundant CLI Command - exit and quit exist with same description and funcationality in all CLI Tree.
44,physical interfaces,Fixed,User able to configure unsupported speed at interface level.
47,rest,Fixed,REST API: Inconsistent behavior between RESTAPI and CLI for add/delete power supplies and temp_sensors.
48,lldp,Fixed,Misleading information to the user on lldp hold timer.
56,Mgmt Interface,Fixed,DNS entry removed from resolv.conf
58,Mgmt Interface,Fixed,IPv6 default gateway not added in mgmt interface
59,AAA,Fixed,"Show startup config dosent display out when radius server is removed, but copy startup to running copies correct configuration"
61,BGP,Fixed,is_peer_group in BGP_Neighbor object should not be changable
62,authentication,Fixed,not able to add user name or starts with numbers
63,Mgmt Interface,Fixed,Route entry missing after startup configuration copied to running configuration
65,link aggregation,Fixed,VSI only: Communication between LAG clients fails depending on order of LAG scenario configuration. Fails about 50% of the time
66,link aggregation,Fixed,LACP lags are not being enabled when configured through CLI
75,Configuration Persistence,Fixed,Implement CLI command to print startup config in json format
77,rest,Fixed,Resource local configuration should not include subresources
78,rest,Fixed,Better name and/or description for resource ids used in URIs
82,vlan,Fixed,Portd doesn't check for exsiting L2 Vlans for VLAN Ids and creates duplicate VLAN rows for same VLAN Ids
84,Test Framework,Fixed,ft-framework slowness in VSI interaction
85,rest,Fixed,SWAGGER UI data structures not matching to the implemented code and REST requests may fail
86,rest,Fixed,"For REST configuration APIs , optional attributes are still required to PASS or API to be successful"
88,AAA,Fixed,VSI Segmentation fault and failed to remove user on user remove cmd.
92,Mgmt Interface,Fixed,Unable to remove IPv6 assigned IP from mgmt interface
98,link aggregation,Fixed,LAG: LACP configuration is only being applied on OVS when there is at least 1 interface in LAG
99,link aggregation,Fixed,LAG: LACP cannot be disabled on an LAG after setting it on
100,link aggregation,Fixed,LAG: LACP interface status is not visible from VTYSH
101,Test Framework,Fixed,Vswitch link filter not being adequately formed
105,vlan,Assigned,No show options for interface vlan configuration
106,link aggregation,Fixed,"Segmentation fault after typing ""show run"""
107,physical interfaces,Open,Inconsistent behavior of administrative status of interfaces
108,link aggregation,Fixed,"LACP: VTYSH assumption is wrong, default LACP rate is fast, not slow"
109,link aggregation,Fixed,LAG - Static LAG not working after change interfaces from one LAG to another
110,rest,Fixed,REST GET returns sting value instead of a boolean
111,BGP,Open,BGP - Map keys not defined
112,dhcp server,Fixed,DHCP - Map keys not defined
113,link aggregation,Open,Port - Map keys not defined
114,rest,Fixed,REST: POST method needs to return URI of newly created resource
116,link aggregation,Fixed,LAG: Broadcast is partially dropped intermittenly
117,BGP,Fixed,GET on BGP_Router missing bgp_neighbor in URI
119,rest,Fixed,REST/Swagger - Dictionaries show keytype: valuetype instead of actual keys when they exist
121,rest,Fixed,"[REST] Recursive GET - Internal Server Error when using ""selector"" parameter"
123,link aggregation,Fixed,Dynamic LAG: LACP mode is not displayed on show running-config
125,BGP,Fixed,BGP configuration of ASN over 3000000 fails
127,rest,Fixed,REST API: POST method is failing when using default data structure returned by GET method.
129,basic l3,Fixed,vtysh crashes when attempting to configure a new IPv6 route with port which is not L3.
131,rest,Fixed,REST - GET of system/full-configuration fails if REST Authentication is enabled
132,rest,Fixed,REST API: PUT method returns internal server error 500 for invalid data structure.
136,link aggregation,Fixed,cli: seg fault in show running-config interface
140,vlan,Fixed,Broken links on VLAN CLI
141,authentication,Open,Broken link on the Authentication CLI page
142,BGP,Fixed,Broken links on the BGP CLI page
143,L3,Assigned,"Broken link on the L3 Interfaces, Static Routes, ECMP page"
145,Test Framework,Skip Fix,Broken link on the Writing Automated Feature Test Cases page
146,CLI infra,Fixed,Core dumped when you press ctrl + ?
149,AAA,Fixed,XML schema does not contain definitions for all System's aaa column keys
151,AAA,Fixed,Weak password encryption
153,VLANS,Fixed,cli:no vlan trunk allowed <vlan-id> command resulting in segmentation fault
154,leds,Fixed,Led config is not saved properly from running to start-up config
155,link aggregation,Fixed,"""no lag #"" in interface context does not re-create interface row in Port table"
156,rest,Fixed,REST: Duplicated code across request handlers
158,os-infra schema,Fixed,Few columns of category status in extended schema are populated under category configuration in swagger model schema
159,rest,Fixed,Datatype mismatch between swagger model schema and REST schema (extended scheam): Swagger Bug
161,L2,Fixed,"Show interfaces output not showing configured allowable MTU size which is in the range of <9192-9216>, since allowable MTU size is  (in bytes) in the range <576-9216>."
162,lldp,Fixed,LLDP - Ordering of show lldp commands is not in numerical order
163,lldp,Open,"LLDP : When LLDP conifguration is done at interface level , it resets the LLDP counter information for that interface"
164,basic l3,Assigned,inter-vlan routing - couldn't ping no more than 84 clients in different vlans
166,Infra CIT,Open,"Errors in ""adding CI process for the component"""
168,vlan,Fixed,VLAN Table corrupted when enable routing on interface added with vlan access.
169,vlan,Fixed,Incorrect handling of 'no vlan trunk native <id>'
170,vlan,Fixed,Invalid handling of 'no vlan <id>' in interface config (switch(config-if)#) context.
172,vlan,Open,Incorrect handling of 'no vlan access <id>' and also the vlan status display is improper.
174,dhcp server,Open,DHCP server cannot handle 1200 pools
176,vlan,Fixed,show run does not display vlans in numerical order
177,vlan,Fixed,when no routing is specified the port should be an L2 interface is not in the default vlan
178,vlan,Fixed,"Interface info not updated while check internal vlan status by ""show vlan"""
179,Ping,Fixed,Local interface/IP ping response is slow
180,basic l3,Open,Got ping response from admin shutdown interface
181,vlan,Fixed,Need CLI to check interface vlan status
182,platform,Fixed,"Segmentation fault (core dumped) on ""show running-config"" once rebooted followed by copy running config into startup."
183,Mgmt interfaces,Open,Misleading auto-negotiation default setting
184,vlan,Fixed,Both L3 interface sharing same internal vlan ID in a specific case
185,vlan,Fixed,Not getting any warning message while running short of internal VLAN ID
187,VLANS,Open,"Show start-up config says ""unknown command""/blank configurations  after adding 4094/1000 vlans"
188,Configuration Persistence,Fixed,"Configurations getting erased post reboot from startup config , startup json strings has the configuration data structures"
189,rest,Fixed,REST: If-Match Test failing randomly
190,Ping,Fixed,"Datagram-size range is not working after a particular value in ""ping"" command"
191,Ping,Fixed,Ping results 100% packet loss with ip-option
196,Mgmt interfaces,Fixed,No form of CLI supported not required for certain interface setting parameters
198,rest,Fixed,"REST: GET method on backward references such as ""Route"" is not working."
199,link aggregation,Fixed,remove interface from LAG restarts switchd
201,platform,Open,ops-config-yaml unit tests are failing
203,Traceroute,Fixed,timeout range for traceroute is not working after certain value
204,link aggregation,Fixed,LACP not working after changes in modules outside ops-lacpd
205,rest,Fixed,REST - GET and GET all in users resource is not consistent with other resources
206,rest,Fixed,REST: Internal Server error when using If-Match with POST/GET
207,rest,Fixed,REST: If-Match not supported with CORS
209,Sftp server,Skip Fix,Need to have sftp server stats show command
210,Ping,Fixed,Ping6: Failing to resolve IPv6 address shows error and datagram-size error
215,CLI infra,Fixed,"""show running-config"" is not displaying in sorted order."
216,basic l3,Open,CLI allows two interfaces to have same IP address
218,link aggregation,Fixed,"Vlan lag configuration don’t overwrite interface vlan configuration, and traffic is dropped from valid configuration."
219,Configuration Persistence,Open,show startup-config does not show the complete startup-config.
220,CLI infra,Open,show running-config causes coredump
221,Ping,Fixed,"Continuous  ping with maximum datagram size shows ""no buffer space available"" after some time"
223,Mgmt interfaces,Open,show inter brief is only showing ports 49 through 54-4
225,CLI infra,Fixed,"Unexpected output when you enter ""show con""  command"
226,BGP,Fixed,clear ip bgp <help string> show Error messages
227,BGP,Fixed,Observed vtysh core dump while check ip bgp summary
228,Ping,Fixed,"Pattern given with ""data-fill"" parameter is not coming with ICMP packet"
229,CLI infra,Open,Need CLI command to copy config (running or startup) to/from external host
231,BGP,Fixed,Segmentation fault when perform the command show ip bgp summary
234,CLI infra,Fixed,"""Show Session-timeout"" doesnt display any output when the session-timeout value is default"
236,link aggregation,Fixed,Markdown update for show running-config
239,BGP,Assigned,"show bgp <memory, rsclient, summary, view and views>  are not yet implemented"
240,rest,Fixed,[REST] Using depth parameter in any operation other than GET should give a Bad Request
241,basic l3,Open,Need single CLI command to show all IP addresses
252,BGP,Fixed,"""show ip bgp ip bgp vpnv4"" + tab = Error: Help strings does not match for the identical tokens"
253,BGP,Fixed,"""show ip bgp ip bgp vpnv4 rd"" + tab = ASN:nn_or_IP-address:nn  Error: Help strings does not match for the identical tokens"
254,CLI infra,Fixed,"""sh startup-config"" hangs and CPU at 100%"
257,BGP,Fixed,BGP: A high amount of routes from disconnected peer remain in routing table
279,Ping,Fixed,Non-default interval parameter is not working as expected for Ping6
280,Sftp server,Open,SFTP Server : No uniformity in config commands and naming conventions  with other features/servers.
282,Traceroute,Fixed,"minttl value 255 in traceroute displays error ""traceroute: setsockopt: Invalid argument"""
285,Traceroute,Fixed,[Trace Route] :  Incorrect IP address on Traceroute say 0.0.0.0 should throw error
286,basic l3,Fixed,Static routing is not displaying in sorted order
287,Traceroute,Fixed,[Traceroute] - Traceroute to any non existing IP address in the same network should display as Host unreachable
288,Traceroute,Fixed,[Trace Route] - Display Meaningful Error message on Network unreachable condition
289,vlan,Fixed,Inconsistent VLAN status behavior
290,vlan,Fixed,VLAN ports not in sorted order while check VLAN status by show VLAN
291,vlan,Fixed,VLAN field is empty in interface status while check by “show interface brief”
292,link aggregation,Fixed,LAG: L2 config does not display under interface that is attached to LAG in show running-config output.
293,Traceroute,Assigned,Traceroute with ip-option loosesourceroute is not disiplaying any hop info
296,rest,Assigned,REST - PUT operation is not reporting when it comes to change an immutable field
298,CLI infra,Fixed,LLDP core dump while configuring it after build update
301,Traceroute,Fixed,Optional parameters  should be displayed while executing the traceroute CLI
302,link aggregation,Fixed,"LACP: Unable to remove lacp port-id, port-priority configured on interface to set default value."
303,platform,Assigned,Duplicate DIAG entries are created on boot GRUB
304,onie,Assigned,Interface not getting IP from DHCP in ONIE rescue mode
305,link aggregation,Fixed,LAG: Transceiver option is not applicable for LAG interface .
306,BGP,Fixed,Appropriate message required when user added another BGP AS number
307,vlan,Fixed,VLAN field is empty while check LAG interface status by “show interface lag <ID> brief”
311,Configuration Persistence,Fixed,"""copy running-config startup-config"" takes 1:30 minutes and CPU at 100%"
313,Configuration Persistence,Fixed,Startup configuration erased when both data and mgmt interface has same IP & route for data plane
314,Traceroute,Fixed,Intermediate hops are not displaying in Traceroute CLI output
315,BGP,Fixed,BGP adjacency not formed without router ID when user configure interface level IP's prior to bgp global configuration
316,BGP,Fixed,"BGP: Deleting an already deleted network causes the latest added network to be deleted, this can be repeated over and over again"
317,link aggregation,Fixed,"LAG: System-priority range option should be removed for  the CLI ""no lacp system-priority""."
321,lldp,Open,LLDP - Port ID not removed when disable and consulting from neighbor info
328,vlan,Fixed,VLAN document issue: VLAN display commands
